Date,Open,High,Low,Close,Volume,Market Cap
"Mar 08, 2016",414.46,416.24,411.09,413.97,70311696,6331422309
"Mar 09, 2016",413.89,416.03,411.61,414.86,70012304,6346735710
"Mar 10, 2016",414.74,417.51,413.25,417.13,81022896,6383105414
"Mar 11, 2016",417.24,423.93,417.01,421.69,73969696,6454555816
"Mar 12, 2016",421.61,421.8,410.09,411.62,92712896,6301963440
"Mar 13, 2016",411.65,416.6,411.64,414.07,74322800,6340701565
"Mar 14, 2016",414.2,416.68,414.2,416.44,95259400,6378632901
"Mar 15, 2016",416.39,418.13,414.98,416.83,66781700,6386304534
"Mar 16, 2016",416.89,417.69,415.91,417.01,65185800,6390672724
"Mar 17, 2016",417.89,421,417.89,420.62,83528600,6447467967
"Mar 18, 2016",420.55,420.55,406.14,409.55,104940000,6279128504
"Mar 19, 2016",409.27,410.98,407.23,410.44,58423000,6294271612
"Mar 20, 2016",410.4,414.63,410.4,413.76,45947900,6346546570
"Mar 21, 2016",413.42,413.42,410.38,413.31,61655400,6341110984
"Mar 22, 2016",413.13,418.38,412.53,418.09,66813300,6416025151
"Mar 23, 2016",418.16,419.27,417.36,418.04,61444200,6416845742
"Mar 24, 2016",418.42,418.68,415.49,416.39,68346704,6393094869
"Mar 25, 2016",416.51,418.08,415.56,417.18,52560000,6406608048
"Mar 26, 2016",417.36,418.99,416.26,417.95,44650400,6420042696
"Mar 27, 2016",418.14,428.8,417.71,426.77,71229400,6557030843
"Mar 28, 2016",426.55,426.86,423.29,424.23,68522800,6519889575
"Mar 29, 2016",424.3,426.2,412.68,416.52,75411504,6402954687
"Mar 30, 2016",416.83,416.83,412.5,414.82,66034100,6378356002
"Mar 31, 2016",415.26,418.37,415.26,416.73,60215200,6409062819
"Apr 01, 2016",416.76,418.17,415.83,417.96,51235700,6429593619
"Apr 02, 2016",418.42,422.08,418.42,420.87,45681200,6475857111
"Apr 03, 2016",421.17,421.58,419.7,420.9,38053700,6477828309
"Apr 04, 2016",421.3,422.34,419.6,421.44,50634300,6487898586
"Apr 05, 2016",421.02,424.26,420.61,424.03,60718000,6529351750
"Apr 06, 2016",424.28,424.53,422.73,423.41,59091000,6521491709
"Apr 07, 2016",423.62,423.66,420.52,422.74,57858600,6512693215
"Apr 08, 2016",422.91,425.36,419.64,420.35,63454700,6477294354
"Apr 09, 2016",420.81,420.89,416.52,419.41,49792700,6464539022
"Apr 10, 2016",419.59,422.43,419.26,421.56,73478600,6499536744
"Apr 11, 2016",421.87,422.74,420.53,422.48,50747500,6515321585
"Apr 12, 2016",422.84,427.28,422.84,425.19,70728800,6558651418
"Apr 13, 2016",425.63,426.66,422.92,423.73,69060400,6537929600
"Apr 14, 2016",423.93,425.37,423.01,424.28,45281000,6548113819
"Apr 15, 2016",424.43,429.93,424.43,429.71,54801500,6633436610
"Apr 16, 2016",429.58,432.63,428.98,430.57,39392800,6648182380
"Apr 17, 2016",430.64,431.37,426.08,427.4,52125900,6600878376
"Apr 18, 2016",427.61,429.27,427.09,428.59,55670900,6620723761
"Apr 19, 2016",428.7,436.02,428.1,435.51,52810500,6729223763
"Apr 20, 2016",435.32,443.05,434.41,441.39,72890096,6821898724
"Apr 21, 2016",441.42,450.55,440.95,449.42,68204704,6947795903
"Apr 22, 2016",449.69,449.81,444.15,445.74,58804400,6892364370
"Apr 23, 2016",445.86,450.28,444.33,450.28,50485400,6964275296
"Apr 24, 2016",450.56,460.15,448.93,458.55,68198400,7093731211
"Apr 25, 2016",459.12,466.62,453.59,461.43,87091800,7139621427
"Apr 26, 2016",461.65,467.96,461.62,466.09,78971904,7213507974
"Apr 27, 2016",466.26,467.08,444.13,444.69,93564896,6883732526
"Apr 28, 2016",445.04,449.55,436.65,449.01,74064704,6952183242
"Apr 29, 2016",449.41,455.38,446.02,455.1,49258500,7048201013
"Apr 30, 2016",455.18,455.59,447.7,448.32,69322600,6944860514
"May 01, 2016",448.48,452.48,447.93,451.88,40660100,7001712750
"May 02, 2016",451.93,452.45,441.78,444.67,92127000,6891791430
"May 03, 2016",444.73,451.1,442.62,450.3,59366400,6980826502
"May 04, 2016",450.18,450.38,445.63,446.72,50407300,6927161701
"May 05, 2016",446.71,448.51,445.88,447.98,50440800,6948331748
"May 06, 2016",447.94,461.38,447.07,459.6,72796800,7130556704
"May 07, 2016",459.64,460.67,457.32,458.54,38364500,7115722136
"May 08, 2016",458.43,459.42,455.98,458.55,40315000,7117822794
"May 09, 2016",458.21,462.48,456.53,460.48,55493100,7149827444
"May 10, 2016",460.52,461.93,448.95,450.89,58956100,7002714977
"May 11, 2016",450.86,454.58,450.86,452.73,50605200,7032699388
"May 12, 2016",452.45,454.95,449.25,454.77,59849300,7065960832
"May 13, 2016",454.85,457.05,453.45,455.67,60845000,7081726955
"May 14, 2016",455.82,456.84,454.79,455.67,37209000,7083394303
"May 15, 2016",455.76,458.69,455.46,457.57,28514000,7114461730
"May 16, 2016",457.59,458.2,452.95,454.16,59171500,7063120268
"May 17, 2016",454.01,455.07,453.61,453.78,64100300,7058821457
"May 18, 2016",453.69,456,453.3,454.62,86850096,7073564772
"May 19, 2016",454.52,454.63,438.71,438.71,96027400,6827425412
"May 20, 2016",437.79,444.05,437.39,442.68,81987904,6890716750
"May 21, 2016",442.97,443.78,441.71,443.19,42762300,6900237725
"May 22, 2016",443.22,443.43,439.04,439.32,39657600,6842082300
"May 23, 2016",439.35,444.35,438.82,444.15,50582500,6919346395
"May 24, 2016",444.29,447.1,443.93,445.98,65783100,6949432035
"May 25, 2016",446.06,450.3,446.06,449.6,65231000,7007360094
"May 26, 2016",449.67,453.64,447.9,453.38,65203800,7067871184
"May 27, 2016",453.52,478.15,453.52,473.46,164780992,7382558440
"May 28, 2016",473.03,533.47,472.7,530.04,181199008,8266477338
"May 29, 2016",527.48,553.96,512.18,526.23,148736992,8209050618
"May 30, 2016",528.47,544.35,522.96,533.86,87958704,8330000111
"May 31, 2016",534.19,546.62,520.66,531.39,138450000,8293035755
"Jun 01, 2016",531.11,543.08,525.64,536.92,86061800,8381321200
"Jun 02, 2016",536.52,540.35,533.08,537.97,60378200,8399598923
"Jun 03, 2016",537.68,574.64,536.92,569.19,122020000,8889102698
"Jun 04, 2016",569.71,590.13,564.24,572.73,94925296,8945981422
"Jun 05, 2016",573.31,582.81,569.18,574.98,68874096,8983555643
"Jun 06, 2016",574.6,586.47,574.6,585.54,72138896,9151021089
"Jun 07, 2016",585.45,590.26,567.51,576.6,107770000,9013335474
"Jun 08, 2016",577.17,582.84,573.13,581.65,80265800,9094354021
"Jun 09, 2016",582.2,582.2,570.95,574.63,71301000,8987040811
"Jun 10, 2016",575.84,579.13,573.33,577.47,66991900,9033522014
"Jun 11, 2016",578.67,607.12,578.67,606.73,82357000,9493578714
"Jun 12, 2016",609.68,684.84,607.04,672.78,277084992,10529624647
"Jun 13, 2016",671.65,716,664.49,704.38,243295008,11026918233
"Jun 14, 2016",704.5,704.5,662.8,685.56,186694000,10734585656
"Jun 15, 2016",685.68,696.3,672.56,694.47,99223800,10876756116
"Jun 16, 2016",696.52,773.72,696.52,766.31,271633984,12004751236
"Jun 17, 2016",768.49,775.36,716.56,748.91,363320992,11734973407
"Jun 18, 2016",748.76,777.99,733.93,756.23,252718000,11852610450
"Jun 19, 2016",756.69,766.62,745.63,763.78,136184992,11974386667
"Jun 20, 2016",763.93,764.08,732.73,737.23,174511008,11561085979
"Jun 21, 2016",735.88,735.88,639.07,666.65,309944000,10456853278
"Jun 22, 2016",665.91,678.67,587.48,596.12,266392992,9352374507
"Jun 23, 2016",597.44,629.33,558.14,623.98,253462000,9791649877
"Jun 24, 2016",625.58,681.73,625.27,665.3,224316992,10442233719
"Jun 25, 2016",665.28,691.73,646.56,665.12,126656000,10442165051
"Jun 26, 2016",665.93,665.98,616.93,629.37,109225000,9883123077
"Jun 27, 2016",629.35,655.28,620.52,655.28,122134000,10292371661
"Jun 28, 2016",658.1,659.25,637.77,647,138384992,10164806261
"Jun 29, 2016",644.12,644.68,628.28,639.89,142456000,10055423427
"Jun 30, 2016",640.59,675.4,636.61,673.34,138980000,10583527799
"Jul 01, 2016",672.52,686.15,669.59,676.3,134431008,10632674990
"Jul 02, 2016",676.73,703.7,676.4,703.7,112354000,11066171356
"Jul 03, 2016",704.97,704.97,649.01,658.66,129512000,10360455388
"Jul 04, 2016",658.8,683.66,650.51,683.66,92008400,10756225162
"Jul 05, 2016",683.21,683.49,665.07,670.63,130476000,10553590036
"Jul 06, 2016",670.42,681.9,670.42,677.33,134960992,10661460872
"Jul 07, 2016",678.09,682.43,611.83,640.56,258091008,10084880016
"Jul 08, 2016",640.69,666.71,636.47,666.52,141970000,10496037616
"Jul 09, 2016",666.38,666.38,633.4,650.96,180536000,10252979330
"Jul 10, 2016",650.6,652.29,641.26,649.36,102532000,10229001841
"Jul 11, 2016",648.48,659.63,644.98,647.66,107910000,10203318330
"Jul 12, 2016",648.28,675.26,646.78,664.55,138172992,10470577835
"Jul 13, 2016",664.8,668.7,654.47,654.47,131449000,10312716681
"Jul 14, 2016",652.92,662.9,652.92,658.08,98511400,10370714378
"Jul 15, 2016",659.17,667.08,659.04,663.26,81673104,10453381650
"Jul 16, 2016",663.78,666.46,659.33,660.77,50330200,10415413843
"Jul 17, 2016",661.99,682.36,661.99,679.46,74407904,10711263460
"Jul 18, 2016",679.81,681.55,668.63,673.11,69465000,10612299585
"Jul 19, 2016",672.74,673.28,667.63,672.86,61203300,10609525767
"Jul 20, 2016",672.81,672.93,663.36,665.68,94636400,10497527596
"Jul 21, 2016",665.23,666.22,660.41,665.01,60491800,10487976073
"Jul 22, 2016",664.92,666.58,646.72,650.62,134169000,10261989674
"Jul 23, 2016",650.73,656.37,648.52,655.56,69532200,10340881944
"Jul 24, 2016",655.41,663.11,652.79,661.28,118184000,10432244355
"Jul 25, 2016",661.26,661.83,653.4,654.1,78176496,10319876749
"Jul 26, 2016",654.23,656.22,645.88,651.78,225135008,10284392843
"Jul 27, 2016",651.63,657.46,648.45,654.35,147460992,10325917979
"Jul 28, 2016",654.49,657.59,654.49,655.03,86428400,10337749269
"Jul 29, 2016",655.11,657.8,654.79,656.99,60703500,10369809306
"Jul 30, 2016",657.01,658.22,654.21,655.05,38456100,10340045284
"Jul 31, 2016",655.1,655.28,624.36,624.68,110818000,9861866433
"Aug 01, 2016",624.6,626.12,605.88,606.27,121887000,9572348580
"Aug 02, 2016",606.4,612.85,531.33,547.47,330932992,8644864335
"Aug 03, 2016",548.66,573.36,541.55,566.35,207982000,8944279139
"Aug 04, 2016",566.33,579.5,565.78,578.29,125292000,9133817995
"Aug 05, 2016",578.28,578.28,569.98,575.04,66127900,9083715053
"Aug 06, 2016",575.03,588.4,569.47,587.78,80797296,9286055404
"Aug 07, 2016",587.77,597.51,586.82,592.69,82398400,9364710627
"Aug 08, 2016",592.74,592.99,588.05,591.05,61194100,9339910963
"Aug 09, 2016",591.04,591.09,584.79,587.8,92228096,9289374235
"Aug 10, 2016",587.65,599.98,586.37,592.1,102905000,9358441335
"Aug 11, 2016",592.12,597.54,589.12,589.12,74514400,9312340020
"Aug 12, 2016",588.8,589.91,583.81,587.56,69218000,9288722581
"Aug 13, 2016",587.36,589.77,584.98,585.59,43563000,9258715472
"Aug 14, 2016",585.59,585.67,564.78,570.47,60851100,9020848475
"Aug 15, 2016",570.49,573.58,563.24,567.24,57262300,8970719083
"Aug 16, 2016",567.24,581.74,566.72,577.44,58405200,9132941526
"Aug 17, 2016",577.76,580.89,571.43,573.22,54443000,9066995409
"Aug 18, 2016",573.71,577.79,573.43,574.32,59896600,9085487925
"Aug 19, 2016",574.34,578.24,574.18,575.63,50631600,9107313927
"Aug 20, 2016",576.08,582.82,575.46,581.7,45301400,9204384754
"Aug 21, 2016",581.94,584.16,580.22,581.31,38299400,9199366517
"Aug 22, 2016",581.31,588.45,580.59,586.75,72844000,9286647694
"Aug 23, 2016",586.77,589.47,581.63,583.41,85349200,9234845697
"Aug 24, 2016",583.41,583.59,579.85,580.18,56328200,9184728961
"Aug 25, 2016",580.18,580.45,575.17,577.76,136130000,9147297036
"Aug 26, 2016",577.75,580.62,576.86,579.65,48856800,9178145243
"Aug 27, 2016",579.45,579.84,568.63,569.95,59698300,9025464112
"Aug 28, 2016",569.83,574.04,569.74,573.91,86301600,9089312935
"Aug 29, 2016",574.07,576.28,573.47,574.11,110398000,9093420855
"Aug 30, 2016",574.11,578.36,574.11,577.5,70342400,9148340524
"Aug 31, 2016",577.59,577.86,573.64,575.47,75840896,9117106217
"Sep 01, 2016",575.55,576.31,571.81,572.3,76923400,9067854884
"Sep 02, 2016",572.41,575.64,570.81,575.54,79910800,9120159589
"Sep 03, 2016",575.55,599.5,574.06,598.21,159014000,9480380026
"Sep 04, 2016",598.59,611.84,596.85,608.63,97942896,9646846465
"Sep 05, 2016",608.99,609.05,602.24,606.59,82446800,9615468145
"Sep 06, 2016",606.51,610.83,605.09,610.44,78529104,9677437248
"Sep 07, 2016",610.57,614.54,608.51,614.54,75032400,9743676240
"Sep 08, 2016",614.64,628.77,613.84,626.32,86713000,9931412644
"Sep 09, 2016",626.35,626.83,620.26,622.86,64550200,9877681032
"Sep 10, 2016",622.93,625.09,622.4,623.51,45016800,9889124590
"Sep 11, 2016",623.42,628.82,600.51,606.72,73610800,9624021892
"Sep 12, 2016",607.01,608.46,605.41,608.24,72812304,9649385919
"Sep 13, 2016",608.03,611.19,606.92,609.24,86920600,9666424848
"Sep 14, 2016",608.84,611.95,608.41,610.68,47877700,9690463177
"Sep 15, 2016",610.59,611.09,607.16,607.16,59464600,9635571708
"Sep 16, 2016",607.25,609.26,606.73,606.97,64963400,9633710359
"Sep 17, 2016",607.22,607.86,605.19,605.98,37140300,9619198525
"Sep 18, 2016",606.28,610.16,605.86,609.87,48679400,9682008337
"Sep 19, 2016",609.87,610.93,608.27,609.23,54796400,9672709264
"Sep 20, 2016",609.25,609.53,607.94,608.31,72710896,9659269452
"Sep 21, 2016",603.59,603.59,595.88,597.15,82776200,9483211005
"Sep 22, 2016",597.28,598.49,596.21,596.3,67085300,9470698215
"Sep 23, 2016",596.2,603.21,595.79,602.84,51067000,9575631549
"Sep 24, 2016",602.96,604.58,602.04,602.63,35359500,9573385118
"Sep 25, 2016",602.75,603.38,599.71,600.83,33977800,9546132575
"Sep 26, 2016",600.81,608.14,600.35,608.04,59153800,9661922446
"Sep 27, 2016",608.02,608.25,604.11,606.17,49422400,9633311305
"Sep 28, 2016",606.24,606.59,604.61,604.73,48722600,9611532319
"Sep 29, 2016",605.02,606.82,604.85,605.69,55658600,9627902106
"Sep 30, 2016",605.72,609.73,604.14,609.73,56122400,9693198750
"Oct 01, 2016",609.93,615.24,609.93,613.98,56357000,9761887632
"Oct 02, 2016",613.95,614.01,609.68,610.89,39249800,9713776587
"Oct 03, 2016",610.97,612.57,610.46,612.13,46798300,9734618878
"Oct 04, 2016",612.05,612.05,609.48,610.2,49801600,9705099355
"Oct 05, 2016",610.22,613.81,609.62,612.51,68077504,9743018924
"Oct 06, 2016",612.47,613.82,611.47,613.02,56812100,9752315689
"Oct 07, 2016",612.61,617.91,611.82,617.12,64071400,9818599994
"Oct 08, 2016",617.34,619.85,617.34,619.11,42345900,9851461946
"Oct 09, 2016",619.17,619.2,616.61,616.75,39243400,9815156618
"Oct 10, 2016",616.82,621.32,616.2,618.99,67481104,9851764897
"Oct 11, 2016",619.24,642.08,618.5,641.07,103590000,10204214839
"Oct 12, 2016",640.87,641.34,635.97,636.19,92370200,10127644784
"Oct 13, 2016",636.03,638.83,635.03,636.79,61620700,10138078870
"Oct 14, 2016",637.01,641.28,637.01,640.38,58144600,10196303437
"Oct 15, 2016",640.31,642.1,637.39,638.65,39035400,10169814232
"Oct 16, 2016",639.08,642.9,638.9,641.63,40298100,10218348388
"Oct 17, 2016",641.82,642.33,638.66,639.19,58063600,10180488274
"Oct 18, 2016",639.41,640.74,636,637.96,65546700,10162029114
"Oct 19, 2016",638.13,638.87,628.01,630.52,69381696,10044471117
"Oct 20, 2016",630.66,631.92,628.26,630.86,56957300,10050854099
"Oct 21, 2016",630.83,634.09,630.69,632.83,55951000,10083501603
"Oct 22, 2016",633.14,658.2,632.85,657.29,78556496,10474463658
"Oct 23, 2016",657.62,661.13,653.89,657.07,54474600,10472100602
"Oct 24, 2016",657.16,657.25,652.59,653.76,62218200,10420469172
"Oct 25, 2016",654,664.42,653.7,657.59,90378800,10482565592
"Oct 26, 2016",657.68,679.73,657.68,678.3,88877104,10813913071
"Oct 27, 2016",678.21,688.59,678.04,688.31,96105296,10974828655
"Oct 28, 2016",688,690.44,684.16,689.65,81145504,10997420362
"Oct 29, 2016",690.29,720.4,690.05,714.48,134760992,11394596830
"Oct 30, 2016",714.12,714.12,696.47,701.86,100665000,11194834676
"Oct 31, 2016",702.64,709.29,691.68,700.97,97064400,11181852070
"Nov 01, 2016",701.34,736.45,701.34,729.79,130527000,11642863554
"Nov 02, 2016",730.07,740.83,722.35,740.83,84865200,11820110421
"Nov 03, 2016",742.35,745.77,678.16,688.7,172808000,10989660280
"Nov 04, 2016",689.12,706.93,685.56,703.23,99907696,11222575748
"Nov 05, 2016",703.53,707.51,697.74,703.42,53752300,11226736982
"Nov 06, 2016",703.81,714.26,699.56,711.52,59902200,11357385316
"Nov 07, 2016",710.74,710.74,699.9,703.13,65047100,11224670783
"Nov 08, 2016",703.09,712.99,702.39,709.85,79660800,11333339468
"Nov 09, 2016",709.83,740.05,708.61,723.27,132429000,11548965779
"Nov 10, 2016",722.84,723.02,711.21,715.53,68807800,11426817526
"Nov 11, 2016",715.55,718.32,714.41,716.41,63119700,11442241390
"Nov 12, 2016",716.75,717.15,704.03,705.05,64622500,11262273136
"Nov 13, 2016",705.2,705.26,687.32,702.03,80318096,11215181107
"Nov 14, 2016",702,706.28,699.81,705.02,62993000,11271073434
"Nov 15, 2016",705.79,715.72,705.26,711.62,72038496,11377924616
"Nov 16, 2016",711.17,747.61,709.04,744.2,141294000,11900441939
"Nov 17, 2016",744.88,755.65,739.51,740.98,108579000,11850398479
"Nov 18, 2016",740.71,752.88,736.89,751.59,87363104,12021432968
"Nov 19, 2016",751.83,756.24,744.47,751.62,110608000,12023262925
"Nov 20, 2016",751.88,755.48,717.94,731.03,154116000,11695081878
"Nov 21, 2016",731.27,741.72,730.51,739.25,60802400,11827902946
"Nov 22, 2016",739.64,753.87,736.53,751.35,129906000,12022735372
"Nov 23, 2016",751.74,752.25,738.92,744.59,76543800,11916054235
"Nov 24, 2016",744.62,746.83,733.49,740.29,85919296,11848658575
"Nov 25, 2016",740.44,741.65,734.59,741.65,67807600,11871816579
"Nov 26, 2016",741.51,742.21,729.63,735.38,54962700,11772895899
"Nov 27, 2016",735.44,739.02,731.09,732.03,52601800,11720648987
"Nov 28, 2016",732.48,738.01,732.48,735.81,61888600,11782628755
"Nov 29, 2016",736.33,737.47,734.56,735.6,68511104,11780661280
"Nov 30, 2016",736.28,747.93,736.27,745.69,84070800,11943536630
"Dec 01, 2016",746.05,758.28,746.05,756.77,80461904,12122431239
"Dec 02, 2016",757.54,781.3,757.54,777.94,127605000,12462935160
"Dec 03, 2016",778.25,778.25,764.86,771.16,69547296,12355811709
"Dec 04, 2016",771.64,773.87,768.16,773.87,60557900,12400766376
"Dec 05, 2016",773.39,773.47,751.71,758.7,106363000,12159115875
"Dec 06, 2016",758.72,765.62,758.72,764.22,116218000,12249086971
"Dec 07, 2016",764.21,771.54,759.75,768.13,96426096,12313376414
"Dec 08, 2016",768.08,774.7,765.95,770.81,80111904,12357837893
"Dec 09, 2016",769.94,774.53,769.65,772.79,68705296,12390863077
"Dec 10, 2016",773.02,777.09,772.91,774.65,53843100,12421967470
"Dec 11, 2016",774.75,774.8,765.41,769.73,57313400,12344888048
"Dec 12, 2016",770.04,781.92,770.04,780.09,76571000,12512497969
"Dec 13, 2016",780.65,788.46,777.96,780.56,81645600,12521776922
"Dec 14, 2016",780.01,782.03,776.84,781.48,75979000,12534369129
"Dec 15, 2016",780.07,781.43,777.8,778.09,81580096,12484761985
"Dec 16, 2016",778.96,785.03,778.96,784.91,83608200,12595490539
"Dec 17, 2016",785.17,792.51,784.86,790.83,78989800,12691945028
"Dec 18, 2016",791.01,794.74,788.03,790.53,60524400,12688510068
"Dec 19, 2016",790.69,793.61,790.32,792.71,74886400,12725090633
"Dec 20, 2016",792.25,801.34,791.5,800.88,99629296,12857473134
"Dec 21, 2016",800.64,834.28,799.41,834.28,155576000,13395445163
"Dec 22, 2016",834.18,875.78,834.15,864.54,200027008,13882988216
"Dec 23, 2016",864.89,925.12,864.68,921.98,275564000,14807189352
"Dec 24, 2016",922.18,923.48,886.34,898.82,137727008,14436754927
"Dec 25, 2016",899.65,899.65,862.42,896.18,143664992,14396194094
"Dec 26, 2016",896.91,913.18,896.9,907.61,123771000,14581389977
"Dec 27, 2016",908.35,940.05,904.26,933.2,167308000,14994286713
"Dec 28, 2016",934.83,975.92,934.83,975.92,236630000,15682769405
"Dec 29, 2016",975.13,979.4,954.5,973.5,199320000,15645617392
"Dec 30, 2016",972.53,972.53,934.83,961.24,187474000,15450507055
"Dec 31, 2016",960.63,963.74,947.24,963.74,99135104,15492554222
"Jan 01, 2017",963.66,1003.08,958.7,998.33,147775008,16050407461
"Jan 02, 2017",998.62,1031.39,996.7,1021.75,222184992,16429024775
"Jan 03, 2017",1021.6,1044.08,1021.6,1043.84,185168000,16786368910
"Jan 04, 2017",1044.4,1159.42,1044.4,1154.73,344945984,18571869009
"Jan 05, 2017",1156.73,1191.1,910.42,1013.38,510199008,16300254795
"Jan 06, 2017",1014.24,1046.81,883.94,902.2,351876000,14513695758
"Jan 07, 2017",903.49,908.59,823.56,908.59,279550016,14618030536
"Jan 08, 2017",908.17,942.72,887.25,911.2,158715008,14661966429
"Jan 09, 2017",913.24,913.69,879.81,902.83,141876992,14528815565
"Jan 10, 2017",902.44,914.87,901.06,907.68,115808000,14608685049
"Jan 11, 2017",908.11,919.45,762.77,777.76,310928992,12519135996
"Jan 12, 2017",775.18,826.25,755.76,804.83,222326000,12956730411
"Jan 13, 2017",803.74,829,780,823.98,168968000,13266554392
"Jan 14, 2017",825.14,835.09,812.46,818.41,93063296,13178601992
"Jan 15, 2017",818.14,823.31,812.87,821.8,71013600,13234840657
"Jan 16, 2017",821.78,834.53,820.27,831.53,82755200,13393372620
"Jan 17, 2017",830.95,910.56,830.8,907.94,155095008,14625779851
"Jan 18, 2017",909.37,917.5,858.3,886.62,225676992,14284036613
"Jan 19, 2017",888.34,904.61,884.34,899.07,105625000,14486616700
"Jan 20, 2017",898.17,899.4,887.01,895.03,86728400,14423545371
"Jan 21, 2017",895.55,927.37,895.53,921.79,111158000,14856911163
"Jan 22, 2017",922.21,937.53,897.56,924.67,116573000,14905439337
"Jan 23, 2017",925.5,928.27,916.74,921.01,73588600,14848013909
"Jan 24, 2017",910.68,924.15,892.29,892.69,111349000,14393026385
"Jan 25, 2017",891.92,903.25,891.69,901.54,120831000,14537488261
